Rural,Perteneciente o relativo a la vida del campo y a sus labores
Rebasar,Pasar o exceder de cierto límite
Recital,Lectura o recitación de composiciones literarias
Regordete,Dicho de una persona o de una parte de su cuerpo Pequeña y gruesa
Revocar,Dejar sin efecto una concesión un mandato o una resolución
Recortar,Cortar o cercenar lo que sobra de algo
Relampaguear,Haber relámpagos
Rana,Batracio del orden de los anuros de unos ocho a quince centímetros de largo con el dorso de color verdoso manchado de oscuro verde pardo y el abdomen blanco boca con dientes y pupila redonda o en forma de rendija vertical Se conocen diversas especies algunas muy comunes en y todas ellas muy ágiles y buenas nadadoras viven de adultas en las inmediaciones de aguas corrientes o estancadas y se alimentan de animalillos acuáticos o terrestres
Respirador,Que sirve para la respiración Músculo respirador Tubo respirador
Robot,Máquina o ingenio electrónico programable que es capaz de manipular objetos y realizar diversas operaciones
