Tiniebla,Falta de luz
Trapo,Pedazo de tela desechado
Termostato,Aparato que sirve para mantener automáticamente una determinada temperatura
Tirar,Dejar caer intencionadamente algo Tirar el libro el pañuelo
Triunfador,Que triunfa
Tender,Desdoblar extender o desplegar lo que está cogido doblado arrugado o amontonado
Trompeta,Instrumento musical de viento consistente en un tubo largo de metal que va ensanchándose desde la boquilla al pabellón y produce diversidad de sonidos según la fuerza con que la boca impele el aire
Triciclo,Vehículo de tres ruedas
Telegrama,Mensaje telegráfico
Timbre,Pequeño aparato empleado para llamar o avisar mediante la emisión rápida de sonidos intermitentes
Telefonear,Transmitir mensajes por teléfono
